feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Eisenbergiella sp. AF36-19BH,Wujia chipingensis AF23-8,0.33349,pos,0.33349,0,0
Eisenbergiella sp. AM46-4BH,Wujia chipingensis AF23-8,0.33342,pos,0.33342,0,0
Eisenbergiella sp. TM09-10,Wujia chipingensis AF23-8,0.33336,pos,0.33336,0,0
Eubacterium_F sp. AF36-4,Wujia chipingensis AF23-8,0.39332,pos,0.39332,0,0
Eubacterium_F sp. AF37-5,Wujia chipingensis AF23-8,0.40379,pos,0.40379,0,0
Eubacterium_F sp. AM53-6,Wujia chipingensis AF23-8,0.47852,pos,0.47852,0,0
Lachnospiraceae gen. 13414_6_70,Wujia chipingensis AF23-8,0.34,pos,0.34,0,0
Lachnospiraceae gen. AF12-17LB,Wujia chipingensis AF23-8,0.40235,pos,0.40235,0,0
Lachnospiraceae gen. AF15-21,Wujia chipingensis AF23-8,0.44283,pos,0.44283,0,0
Lachnospiraceae gen. AF20-18LB,Wujia chipingensis AF23-8,0.4706,pos,0.4706,0,0
Lachnospiraceae gen. AF34-16,Wujia chipingensis AF23-8,0.42591,pos,0.42591,0,0
Lachnospiraceae gen. AF42-8,Wujia chipingensis AF23-8,0.47751,pos,0.47751,0,0
Lachnospiraceae gen. AF54-6pH10A,Wujia chipingensis AF23-8,0.40388,pos,0.40388,0,0
Lachnospiraceae gen. GCA_014297335,Wujia chipingensis AF23-8,0.34556,pos,0.34556,0,0
Lachnospiraceae gen. GCA_900066985,Wujia chipingensis AF23-8,0.40037,pos,0.40037,0,0
Pararoseburia lenta AM51-8,Wujia chipingensis AF23-8,0.57688,pos,0.57688,0,0
Wujia chipingensis AF15-49,Wujia chipingensis AF23-8,0.52938,pos,0.52938,0,0
Acetatifactor intestinalis AF22-6AC,Wujia chipingensis AF43-10,0.46293,pos,0.46293,0,0
Acetatifactor sp. AF34-10BH,Wujia chipingensis AF43-10,0.43233,pos,0.43233,0,0
Acetatifactor sp. AF46-12NS,Wujia chipingensis AF43-10,0.35846,pos,0.35846,0,0
Acetatifactor sp. TM11-1A,Wujia chipingensis AF43-10,0.43111,pos,0.43111,0,0
Agathobacter faecis 21673_4_84,Wujia chipingensis AF43-10,0.30344,pos,0.30344,0,0
Agathobacter faecis GCA_001405615,Wujia chipingensis AF43-10,0.33214,pos,0.33214,0,0
Agathobacter faecis GCA_015550045,Wujia chipingensis AF43-10,0.31611,pos,0.31611,0,0
Agathobacter rectalis AF17-27,Wujia chipingensis AF43-10,0.39369,pos,0.39369,0,0
Agathobacter rectalis GCA_001406835,Wujia chipingensis AF43-10,0.3043,pos,0.3043,0,0
Agathobacter sp. 20427_4_23,Wujia chipingensis AF43-10,0.48744,pos,0.48744,0,0
Bariatricus comes GCA_013301565,Wujia chipingensis AF43-10,0.33673,pos,0.33673,0,0
Butyribacter intestini AF81-08TA,Wujia chipingensis AF43-10,0.4184,pos,0.4184,0,0
Butyribacter sp. AM49-4BH,Wujia chipingensis AF43-10,0.40066,pos,0.40066,0,0
Butyribacter sp. AM53-13BH,Wujia chipingensis AF43-10,0.42072,pos,0.42072,0,0
Choladocola sp. 21673_4_3,Wujia chipingensis AF43-10,0.32614,pos,0.32614,0,0
Choladocola sp. OM08-6BH,Wujia chipingensis AF43-10,0.36112,pos,0.36112,0,0
Clostridium_Q fessum AF27-5AA,Wujia chipingensis AF43-10,0.37808,pos,0.37808,0,0
Eisenbergiella sp. AF16-15,Wujia chipingensis AF43-10,0.36463,pos,0.36463,0,0
Eisenbergiella sp. AF36-19BH,Wujia chipingensis AF43-10,0.34164,pos,0.34164,0,0
Eisenbergiella sp. AM46-4BH,Wujia chipingensis AF43-10,0.3394,pos,0.3394,0,0
Eisenbergiella sp. TM09-10,Wujia chipingensis AF43-10,0.35816,pos,0.35816,0,0
Eubacterium_F sp. AM53-6,Wujia chipingensis AF43-10,0.42448,pos,0.42448,0,0
Lachnospiraceae gen. 13414_6_70,Wujia chipingensis AF43-10,0.37154,pos,0.37154,0,0
Lachnospiraceae gen. AF12-17LB,Wujia chipingensis AF43-10,0.44021,pos,0.44021,0,0
Lachnospiraceae gen. AF15-21,Wujia chipingensis AF43-10,0.45728,pos,0.45728,0,0
Lachnospiraceae gen. AF20-18LB,Wujia chipingensis AF43-10,0.41408,pos,0.41408,0,0
Lachnospiraceae gen. AF34-16,Wujia chipingensis AF43-10,0.42637,pos,0.42637,0,0
Lachnospiraceae gen. AF42-8,Wujia chipingensis AF43-10,0.45745,pos,0.45745,0,0
Lachnospiraceae gen. AF54-6pH10A,Wujia chipingensis AF43-10,0.36034,pos,0.36034,0,0
Lachnospiraceae gen. GCA_900066985,Wujia chipingensis AF43-10,0.34524,pos,0.34524,0,0
Pararoseburia lenta AM51-8,Wujia chipingensis AF43-10,0.44107,pos,0.44107,0,0
Wujia chipingensis AF15-49,Wujia chipingensis AF43-10,0.48366,pos,0.48366,0,0
Wujia chipingensis AF23-8,Wujia chipingensis AF43-10,0.59554,pos,0.59554,0,0
Acetatifactor intestinalis AF22-6AC,Wujia chipingensis AM53-12,0.48942,pos,0.48942,0,0
Acetatifactor sp. AF34-10BH,Wujia chipingensis AM53-12,0.41829,pos,0.41829,0,0
Acetatifactor sp. AF46-12NS,Wujia chipingensis AM53-12,0.30151,pos,0.30151,0,0
Acetatifactor sp. TM11-1A,Wujia chipingensis AM53-12,0.41743,pos,0.41743,0,0
Agathobacter faecis 21673_4_84,Wujia chipingensis AM53-12,0.33696,pos,0.33696,0,0
Agathobacter faecis GCA_001405615,Wujia chipingensis AM53-12,0.34725,pos,0.34725,0,0
Agathobacter faecis GCA_015550045,Wujia chipingensis AM53-12,0.34979,pos,0.34979,0,0
Agathobacter rectalis AF17-27,Wujia chipingensis AM53-12,0.46492,pos,0.46492,0,0
Agathobacter rectalis GCA_001406835,Wujia chipingensis AM53-12,0.44992,pos,0.44992,0,0
Agathobacter rectalis GCA_013303775,Wujia chipingensis AM53-12,0.33067,pos,0.33067,0,0
Agathobacter rectalis GCA_015557515,Wujia chipingensis AM53-12,0.43797,pos,0.43797,0,0
Agathobacter rectalis GCA_018784685,Wujia chipingensis AM53-12,0.41297,pos,0.41297,0,0
Agathobacter rectalis TM10-3,Wujia chipingensis AM53-12,0.41708,pos,0.41708,0,0
Agathobacter sp. 20427_4_23,Wujia chipingensis AM53-12,0.48315,pos,0.48315,0,0
Bariatricus comes GCA_013301565,Wujia chipingensis AM53-12,0.40659,pos,0.40659,0,0
Butyribacter intestini AF81-08TA,Wujia chipingensis AM53-12,0.50764,pos,0.50764,0,0
Butyribacter sp. AM49-4BH,Wujia chipingensis AM53-12,0.50108,pos,0.50108,0,0
Butyribacter sp. AM53-13BH,Wujia chipingensis AM53-12,0.49427,pos,0.49427,0,0
Choladocola sp. 21673_4_3,Wujia chipingensis AM53-12,0.45021,pos,0.45021,0,0
Choladocola sp. OM08-6BH,Wujia chipingensis AM53-12,0.51279,pos,0.51279,0,0
Clostridium_Q fessum AF27-5AA,Wujia chipingensis AM53-12,0.5584,pos,0.5584,0,0
Eisenbergiella sp. 14207_7_45,Wujia chipingensis AM53-12,0.32897,pos,0.32897,0,0
Eisenbergiella sp. AF16-15,Wujia chipingensis AM53-12,0.38692,pos,0.38692,0,0
Eisenbergiella sp. AF36-19BH,Wujia chipingensis AM53-12,0.39403,pos,0.39403,0,0
Eisenbergiella sp. AM46-4BH,Wujia chipingensis AM53-12,0.39322,pos,0.39322,0,0
Eisenbergiella sp. TM09-10,Wujia chipingensis AM53-12,0.37558,pos,0.37558,0,0
Eubacterium_F sp. AF36-4,Wujia chipingensis AM53-12,0.41105,pos,0.41105,0,0
Eubacterium_F sp. AF37-5,Wujia chipingensis AM53-12,0.44294,pos,0.44294,0,0
Eubacterium_F sp. AM53-6,Wujia chipingensis AM53-12,0.46915,pos,0.46915,0,0
Lachnospiraceae gen. 13414_6_70,Wujia chipingensis AM53-12,0.3855,pos,0.3855,0,0
Lachnospiraceae gen. AF12-17LB,Wujia chipingensis AM53-12,0.47748,pos,0.47748,0,0
Lachnospiraceae gen. AF15-21,Wujia chipingensis AM53-12,0.50007,pos,0.50007,0,0
Lachnospiraceae gen. AF20-18LB,Wujia chipingensis AM53-12,0.41309,pos,0.41309,0,0
Lachnospiraceae gen. AF34-16,Wujia chipingensis AM53-12,0.42242,pos,0.42242,0,0
Lachnospiraceae gen. AF42-8,Wujia chipingensis AM53-12,0.4585,pos,0.4585,0,0
Lachnospiraceae gen. AF54-6pH10A,Wujia chipingensis AM53-12,0.43387,pos,0.43387,0,0
Lachnospiraceae gen. GCA_900066985,Wujia chipingensis AM53-12,0.49535,pos,0.49535,0,0
Mediterraneibacter faecis AM33-14,Wujia chipingensis AM53-12,0.3119,pos,0.3119,0,0
Pararoseburia lenta AM51-8,Wujia chipingensis AM53-12,0.55171,pos,0.55171,0,0
Wujia chipingensis AF15-49,Wujia chipingensis AM53-12,0.53063,pos,0.53063,0,0
Wujia chipingensis AF23-8,Wujia chipingensis AM53-12,0.63491,pos,0.63491,0,0
Wujia chipingensis AF43-10,Wujia chipingensis AM53-12,0.54724,pos,0.54724,0,0
Acetatifactor intestinalis AF22-6AC,Wujia chipingensis OM08-29,0.4953,pos,0.4953,0,0
Acetatifactor sp. AF34-10BH,Wujia chipingensis OM08-29,0.40891,pos,0.40891,0,0
Acetatifactor sp. TM11-1A,Wujia chipingensis OM08-29,0.46461,pos,0.46461,0,0
Agathobacter faecis 21673_4_84,Wujia chipingensis OM08-29,0.3648,pos,0.3648,0,0
Agathobacter faecis GCA_001405615,Wujia chipingensis OM08-29,0.38796,pos,0.38796,0,0
Agathobacter faecis GCA_015550045,Wujia chipingensis OM08-29,0.3923,pos,0.3923,0,0
Agathobacter rectalis AF17-27,Wujia chipingensis OM08-29,0.47342,pos,0.47342,0,0
Agathobacter rectalis GCA_001406835,Wujia chipingensis OM08-29,0.5336,pos,0.5336,0,0
Agathobacter rectalis GCA_013303775,Wujia chipingensis OM08-29,0.40855,pos,0.40855,0,0
Agathobacter rectalis GCA_015557515,Wujia chipingensis OM08-29,0.53171,pos,0.53171,0,0
Agathobacter rectalis GCA_018784685,Wujia chipingensis OM08-29,0.51526,pos,0.51526,0,0
Agathobacter rectalis TM10-3,Wujia chipingensis OM08-29,0.51812,pos,0.51812,0,0
Agathobacter sp. 20427_4_23,Wujia chipingensis OM08-29,0.3278,pos,0.3278,0,0
Bariatricus comes GCA_013301565,Wujia chipingensis OM08-29,0.39281,pos,0.39281,0,0
Butyribacter intestini AF81-08TA,Wujia chipingensis OM08-29,0.40622,pos,0.40622,0,0
Butyribacter sp. AM49-4BH,Wujia chipingensis OM08-29,0.409,pos,0.409,0,0
Butyribacter sp. AM53-13BH,Wujia chipingensis OM08-29,0.37211,pos,0.37211,0,0
Choladocola sp. 21673_4_3,Wujia chipingensis OM08-29,0.43061,pos,0.43061,0,0
Choladocola sp. OM08-6BH,Wujia chipingensis OM08-29,0.49345,pos,0.49345,0,0
Clostridium_Q fessum AF27-5AA,Wujia chipingensis OM08-29,0.4393,pos,0.4393,0,0
Eisenbergiella sp. 14207_7_45,Wujia chipingensis OM08-29,0.3783,pos,0.3783,0,0
Eisenbergiella sp. AF16-15,Wujia chipingensis OM08-29,0.42053,pos,0.42053,0,0
Eisenbergiella sp. AF36-19BH,Wujia chipingensis OM08-29,0.41974,pos,0.41974,0,0
Eisenbergiella sp. AM46-4BH,Wujia chipingensis OM08-29,0.43619,pos,0.43619,0,0
Eisenbergiella sp. TM09-10,Wujia chipingensis OM08-29,0.42689,pos,0.42689,0,0
Eubacterium_F sp. AF36-4,Wujia chipingensis OM08-29,0.43388,pos,0.43388,0,0
Eubacterium_F sp. AF37-5,Wujia chipingensis OM08-29,0.41345,pos,0.41345,0,0
Eubacterium_F sp. AM53-6,Wujia chipingensis OM08-29,0.49233,pos,0.49233,0,0
Lachnospiraceae gen. 13414_6_70,Wujia chipingensis OM08-29,0.363,pos,0.363,0,0
Lachnospiraceae gen. AF12-17LB,Wujia chipingensis OM08-29,0.37071,pos,0.37071,0,0
Lachnospiraceae gen. AF15-21,Wujia chipingensis OM08-29,0.46019,pos,0.46019,0,0
Lachnospiraceae gen. AF20-18LB,Wujia chipingensis OM08-29,0.35319,pos,0.35319,0,0
Lachnospiraceae gen. AF34-16,Wujia chipingensis OM08-29,0.34549,pos,0.34549,0,0
Lachnospiraceae gen. AF42-8,Wujia chipingensis OM08-29,0.38935,pos,0.38935,0,0
Lachnospiraceae gen. AF54-6pH10A,Wujia chipingensis OM08-29,0.40543,pos,0.40543,0,0
Lachnospiraceae gen. GCA_900066985,Wujia chipingensis OM08-29,0.50351,pos,0.50351,0,0
Mediterraneibacter faecis AM33-14,Wujia chipingensis OM08-29,0.41924,pos,0.41924,0,0
Pararoseburia lenta AM51-8,Wujia chipingensis OM08-29,0.47716,pos,0.47716,0,0
Wujia chipingensis AF15-49,Wujia chipingensis OM08-29,0.3811,pos,0.3811,0,0
Wujia chipingensis AF23-8,Wujia chipingensis OM08-29,0.50601,pos,0.50601,0,0
Wujia chipingensis AF43-10,Wujia chipingensis OM08-29,0.42911,pos,0.42911,0,0
Wujia chipingensis AM53-12,Wujia chipingensis OM08-29,0.55793,pos,0.55793,0,0
Blautia_A wexlerae GCA_013304625,Blautia_A wexlerae GCA_013304625,1,pos,1,0,0
Enterocloster sp. AF66-15pH9A,Enterocloster sp. AF66-15pH9A,1,pos,1,0,0
